Kod,Nazev,Kategorie
A00,Cholera,
A000,Cholera‚ původce: Vibrio cholerae 01‚ biotyp cholerae,Střevní infekční nemoci
A001,Cholera‚ původce: Vibrio cholerae 01‚ biotyp el Tor,Střevní infekční nemoci
A009,Cholera NS,Střevní infekční nemoci
A01,Břišní tyfus a paratyfus,
A010,Břišní tyfus,Sepse
A011,Paratyfus A,Sepse
A012,Paratyfus B,Sepse
A013,Paratyfus C,Sepse
A014,Paratyfus NS,Sepse
A02,Jiné infekce způsobené salmonelami,
A020,Salmonelová enteritis,Střevní infekční nemoci
A021,Salmonelová sepse,Sepse
A022,Salmonelové infekce lokalizované,Infekční a parazitární nemoci nezařazené jinde
A028,Jiné určené infekce salmonelami,Infekční a parazitární nemoci nezařazené jinde
A029,Infekce salmonelami NS,Infekční a parazitární nemoci nezařazené jinde
A03,Shigelóza,
A030,Shigelóza‚ původce: Shigella dysenteriae,Střevní infekční nemoci
A031,Shigelóza‚ původce: Shigella flexneri,Střevní infekční nemoci
A032,Shigelóza‚ původce: Shigella boydii,Střevní infekční nemoci
A033,Shigelóza‚ původce: Shigella sonnei,Střevní infekční nemoci
A038,Shigelóza jiná,Střevní infekční nemoci
A039,Shigelóza NS,Střevní infekční nemoci
A04,Jiné bakteriální střevní infekce,
A040,Enteropatogenní infekce‚ původce: Escherichia coli,Střevní infekční nemoci
A041,Enterotoxikogenní infekce‚ původce: Escherichia coli,Střevní infekční nemoci
A042,Enteroinvazivní infekce‚ původce: Escherichia coli,Střevní infekční nemoci
A043,Enterohemoragické infekce‚ původce: Escherichia coli,Střevní infekční nemoci
A044,Jiné střevní infekce‚ původce: Escherichia coli,Střevní infekční nemoci
A045,Enteritida‚ původce: Campylobacter,Střevní infekční nemoci
A046,Enteritida‚ původce: Yersinia enterocolitica,Střevní infekční nemoci
A047,Enterokolitida‚ původce: Clostridium difficile,Střevní infekční nemoci
A048,Jiná určená bakteriální střevní infekce,Střevní infekční nemoci
A049,Bakteriální střevní infekce NS,Střevní infekční nemoci
A05,"Jiné bakteriální intoxikace – otravy, přenesené potravou",
A050,Stafylokoková intoxikace přenesená potravou,Střevní infekční nemoci
A051,Botulismus,Infekční a parazitární nemoci nezařazené jinde
A052,Intoxikace přen. potravou‚ pův.: Clostridium perfingens [C. welchii],Střevní infekční nemoci
A053,Intoxikace přenesená potravou‚ původce: Vibrio paraheamolyticus,Střevní infekční nemoci
A054,Intoxikace přenesená potravou‚ původce: Bacillus cereus,Střevní infekční nemoci
A058,Jiné specifikované bakteriální intoxikace přenesené potravinami,Střevní infekční nemoci
A059,Bakteriální intoxikace přenesená potravou NS,Střevní infekční nemoci
A06,Amébóza,
A060,Akutní amébová dysenterie,Střevní infekční nemoci
A061,Chronická střevní amébóza,Střevní infekční nemoci
A062,Amébová nedysenterická kolitida,Střevní infekční nemoci
A063,Střevní amébóm,Infekční a parazitární nemoci nezařazené jinde
A064,Amébový jaterní absces (K77*),Zánět a selhání jater
A065,Amébový plicní absces,Záněty plic
A066,Amébový mozkový absces (G07*),Infekční onemocnění nervové soustavy
A067,Kožní amébóza,Onemocnění kůže způsobená mikroorganismy a parazity
A068,Amébová infekce jiných lokalizací,Infekční a parazitární nemoci nezařazené jinde
A069,Amébóza NS,Infekční a parazitární nemoci nezařazené jinde
A07,Jiné protozoární střevní nemoci,
A070,Balantidióza,Střevní infekční nemoci
A071,Giardiósa (lamblióza),Střevní infekční nemoci
A072,Kryptosporidióza,Střevní infekční nemoci
A073,Izosporóza,Střevní infekční nemoci
A078,Jiné určené protozoární střevní nemoci,Střevní infekční nemoci
A079,Střevní nemoci způsobené prvoky NS,Střevní infekční nemoci
A08,Střevní infekce viry a jinými určenými mikroorganismy,
A080,Rotavirová enteritida,Střevní infekční nemoci
A081,Akutní gastroenteropatie v důsledku noroviru,Střevní infekční nemoci
A082,Adenovirová enteritida,Střevní infekční nemoci
A083,Jiná virová enteritida,Střevní infekční nemoci
A084,Virové střevní infekce NS,Střevní infekční nemoci
A085,Jiné určené střevní infekce,Střevní infekční nemoci
A09,Jiná gastroenteritida a kolitida infekčního a NS původu,
A090,Jiná a nespecifikovaná gastroenteritida a kolitida infekčního původu,Střevní infekční nemoci
A099,Gastroenteritida a kolitida neurčeného původu,Střevní infekční nemoci
A15,"Tuberkulóza dýchacího ústrojí, bakteriologicky a histologicky ověřená",
A150,"TBC plic, ověřená ve sputu mikroskopicky – s nebo bez kultivace",Tuberkulóza
A151,"TBC plic, ověřená pouze kultivací",Tuberkulóza
A152,"TBC plic, ověřená histologicky",Tuberkulóza
A153,"TBC plic, ověřená nespecifikovanou metodou",Tuberkulóza
A154,"TBC nitrohrudních uzlin, bakteriologicky a histologicky ověřená",Tuberkulóza
A155,"TBC hrtanu, průdušnice a bronchu, bakteriol. a histologicky ověřená",Tuberkulóza
A156,Tuberkulózní pleuritida‚ bakteriologicky a histologicky ověřená,Tuberkulóza
A157,"Primární TBC dýchacího ústrojí, bakteriolog.a histologicky ověřená",Tuberkulóza
A158,"TBC j. částí dýchacího ústrojí, bakteriologicky a histologicky ověřená",Tuberkulóza
A159,"TBC dýchacího ústrojí NS, bakteriologicky a histologicky ověřená",Tuberkulóza
A16,"TBC dýchacího ústrojí, bakteriologicky a histologicky neověřená",
A160,"TBC plic, bakteriologicky a histologicky negativní",Tuberkulóza
A161,"TBC plic, bakteriologické a histologické vyšetření neprovedeno",Tuberkulóza
A162,"TBC plic, bez zmínky o bakteriologickém nebo histologickém ověření",Tuberkulóza
A163,"TBC nitrohrudních uzlin, bez zmínky o bakter. nebo histol. ověření",Tuberkulóza
A164,"TBC hrtanu, průdušnice a bronchu, bez uvedení bakter.n.histol.ověření",Tuberkulóza
A165,Tuberkulózní pleuritida‚ bez zmínky o bakter. nebo histologickém ověř.,Tuberkulóza
A167,"Primární TBC dých. ústrojí, bez zmínky o bakter.n.histol. ověření",Tuberkulóza
A168,"TBC jiných částí dých. ústrojí, bez zmínky o bakter.n.histol. ověření",Tuberkulóza
A169,"TBC dýchacího ústrojí NS, bez zmínky o bakter.n.histol. ověření",Tuberkulóza
A17,TBC nervové soustavy,
A170,Tuberkulózní meningitida – meningitis tuberculosa (G01*),Infekční onemocnění nervové soustavy
A171,Meningeální tuberkulom (G07*),Infekční onemocnění nervové soustavy
A178,Jiná TBC nervové soustavy,Infekční onemocnění nervové soustavy
A179,TBC nervové soustavy NS (G99.8*),Infekční onemocnění nervové soustavy
A18,TBC jiných orgánů,
A180,TBC kostí a kloubů,Infekční onemocnění kloubů
A181,TBC močové a pohlavní soustavy,Záněty močových cest
A182,TBC periferních lymfatických uzlin,Zvětšení a zánět mízních uzlin
A183,"TBC střev, pobřišnice a mezenterických uzlin",Střevní infekční nemoci
A184,TBC kůže a podkožního vaziva,Onemocnění kůže způsobená mikroorganismy a parazity
A185,TBC oka,Zánětlivá onemocnění oka
A186,TBC ucha,Záněty ucha
A187,TBC nadledvin (E35.1*),Funkční poruchy nadledviny
A188,TBC jiných určených orgánů,Infekční a parazitární nemoci nezařazené jinde
A19,Miliární TBC,
A190,Akutní miliární TBC jediného určeného místa,Sepse
A191,Akutní miliární TBC více lokalizací,Sepse
A192,Akutní miliární TBC NS,Sepse
A198,Jiná miliární TBC,Sepse
A199,Miliární TBC NS,Sepse
A20,Mor,
A200,Bubonický – dýmějový mor,Infekční a parazitární nemoci nezařazené jinde
A201,Celulokutanní mor,Infekční a parazitární nemoci nezařazené jinde
A202,Plicní forma moru,Záněty plic
A203,Morová meningitida,Infekční onemocnění nervové soustavy
A207,Septikemická forma moru,Sepse
A208,Jiné formy moru,Infekční a parazitární nemoci nezařazené jinde
A209,Mor NS,Infekční a parazitární nemoci nezařazené jinde
A21,Tularemie,
A210,Ulceroglandulární tularemie,Infekční a parazitární nemoci nezařazené jinde
A211,Okuloglandulární tularemie,Infekční a parazitární nemoci nezařazené jinde
A212,Plicní forma tularemie,Záněty plic
A213,Viscerální forma tularemie,Střevní infekční nemoci
A217,Generalizovaná tularemie,Sepse
A218,Jiné formy tularemie,Infekční a parazitární nemoci nezařazené jinde
A219,Tularemie NS,Infekční a parazitární nemoci nezařazené jinde
A22,Sněť slezinná [anthrax],
A220,Kožní antrax,Onemocnění kůže způsobená mikroorganismy a parazity
A221,Plicní antrax,Záněty plic
A222,Gastrointestinální antrax,Střevní infekční nemoci
A227,Antraxová sepse,Sepse
A228,Jiné formy antraxu,Infekční a parazitární nemoci nezařazené jinde
A229,Antrax NS,Infekční a parazitární nemoci nezařazené jinde
A23,Brucelóza – vlnivá horečka,
A230,Brucelóza‚ původce: Brucella melitensis,Infekční a parazitární nemoci nezařazené jinde
A231,Brucelóza‚ původce: Brucella abortus,Infekční a parazitární nemoci nezařazené jinde
A232,Brucelóza‚ původce: Brucella suis,Infekční a parazitární nemoci nezařazené jinde
